Sales_ID,Name,Year,Selling_Price,km_Driven,City_Code,State_Code,Postal_Code,Fuel,Seller_Type,Transmission,Owner,Mileage,Engine,Max_Power,Seats,City_Name,State_Code_city,City_Code_postal,Region_Code,Region,State_Name,Sold
19,Maruti Alto LX,2002,150000,80000,CT17,ST07,391510,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5,Vadodara,ST07,CT17,R3,West,Gujarat,Y
20,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,CT09,ST34,110039,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5,Delhi,ST34,CT09,R5,North,Delhi,Y
21,Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,CT19,ST12,570004,Diesel,Individual,Manual,Second Owner,21.0 kmpl,1461 CC,64.1 bhp,5,Mysore,ST12,CT19,R4,South,Karnataka,Y
22,Honda WR-V i-DTEC VX,2017,950000,50000,CT18,ST21,141003,Diesel,Individual,Manual,First Owner,25.5 kmpl,1498 CC,98.6 bhp,5,Ludhiana,ST21,CT18,R5,North,Punjab,Y
23,Maruti Swift Dzire ZDI,2015,525000,40000,CT22,ST14,452010,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5,Indore,ST14,CT22,R1,Central,Madhya Pradesh,Y
24,Maruti SX4 ZDI,2012,600000,72000,CT18,ST21,141003,Diesel,Individual,Manual,First Owner,21.5 kmpl,1248 CC,88.8 bhp,5,Ludhiana,ST21,CT18,R5,North,Punjab,Y
25,Tata Tigor 2017-2020 XZ,2018,500000,35000,CT06,ST22,302029,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,83.81 bhp,5,Jaipur,ST22,CT06,R5,North,Rajasthan,Y
26,Maruti Baleno Delta 1.2,2016,575000,45000,CT27,ST11,831001,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5,Jamshedpur,ST11,CT27,R2,East,Jharkhand,Y
27,Maruti Alto 800 LXI,2017,275000,28000,CT26,ST15,431001,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5,Aurangabad,ST15,CT26,R3,West,Maharashtra,Y
28,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,CT08,ST29,700027,Diesel,Individual,Manual,First Owner,18.2 kmpl,1248 CC,73.8 bhp,7,Kolkata,ST29,CT08,R2,East,West Bengal,Y
29,Maruti Wagon R LXI Minor,2009,220000,120000,CT28,ST11,834001,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,5,Ranchi,ST11,CT28,R2,East,Jharkhand,Y
30,Maruti Omni E MPI STD BS IV,2018,254999,25000,CT05,ST25,500004,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,8,Hyderabad,ST25,CT05,R4,South,Telangana,Y
31,Maruti Vitara Brezza LDi Option,2017,670000,70000,CT13,ST04,801110,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5,Patna,ST04,CT13,R2,East,Bihar,Y
33,Maruti Omni 8 Seater BSIV,2012,150000,35000,CT24,ST13,680004,Petrol,Individual,Manual,Second Owner,14.0 kmpl,796 CC,35 bhp,5,Thrissur,ST13,CT24,R4,South,Kerala,Y
34,Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,CT19,ST12,570004,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5,Mysore,ST12,CT19,R4,South,Karnataka,Y
35,Maruti Vitara Brezza LDi,2017,650000,16200,CT20,ST28,208002,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5,kanpur,ST28,CT20,R1,Central,Uttar Pradesh,Y
36,Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CT10,ST12,560034,CNG,Individual,Manual,Second Owner,33.44 km/kg,796 CC,40.3 bhp,4,Bangalore,ST12,CT10,R4,South,Karnataka,Y
37,Maruti Alto K10 VXI Airbag,2019,366000,15000,CT13,ST04,801110,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.1 bhp,5,Patna,ST04,CT13,R2,East,Bihar,Y
38,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,CT22,ST14,452010,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,5,Indore,ST14,CT22,R1,Central,Madhya Pradesh,Y
39,Datsun GO D,2016,150000,42000,CT04,ST24,641001,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,5,Coimbatore,ST24,CT04,R4,South,Tamil Nadu,Y
40,Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,CT20,ST28,208002,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,7,kanpur,ST28,CT20,R1,Central,Uttar Pradesh,Y
41,Maruti 800 Std,2012,150000,76000,CT12,ST28,201301,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4,Noida,ST28,CT12,R1,Central,Uttar Pradesh,Y
42,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,CT28,ST11,834001,Petrol,Individual,Automatic,First Owner,16.0 kmpl,1368 CC,160.77 bhp,5,Ranchi,ST11,CT28,R2,East,Jharkhand,Y
43,Honda City i VTEC VX,2018,925000,28900,CT19,ST12,570004,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,5,Mysore,ST12,CT19,R4,South,Karnataka,Y
44,Honda City V MT,2013,425000,86300,CT10,ST12,560034,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,5,Bangalore,ST12,CT10,R4,South,Karnataka,Y
45,Maruti Swift Dzire VXi AT,2018,675000,23300,CT14,ST07,395007,Petrol,Dealer,Automatic,First Owner,18.5 kmpl,1197 CC,83.14 bhp,5,Surat,ST07,CT14,R3,West,Gujarat,Y
46,Maruti Vitara Brezza VDi,2018,819999,32600,CT13,ST04,800002,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5,Patna,ST04,CT13,R2,East,Bihar,Y
47,Maruti Alto K10 VXI,2018,390000,10300,CT29,ST24,632001,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5,Vellore,ST24,CT29,R4,South,Tamil Nadu,Y
48,Toyota Fortuner 4x4 MT,2014,1500000,77000,CT01,ST15,400001,Diesel,Dealer,Manual,First Owner,12.55 kmpl,2982 CC,168.5 bhp,7,Mumbai,ST15,CT01,R3,West,Maharashtra,Y
49,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,CT16,ST23,737101,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,7,Gangtok,ST23,CT16,R6,North East,Sikkim,Y
50,Mercedes-Benz B Class B180,2014,1450000,27800,CT10,ST12,560034,Diesel,Dealer,Automatic,Second Owner,14.8 kmpl,2143 CC,120.7 bhp,5,Bangalore,ST12,CT10,R4,South,Karnataka,Y
51,Honda Amaze S Diesel,2015,425000,49800,CT19,ST12,570004,Diesel,Dealer,Manual,First Owner,24.7 kmpl,1498 CC,98.63 bhp,5,Mysore,ST12,CT19,R4,South,Karnataka,Y
52,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,CT25,ST01,524225,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,7,Nellore,ST01,CT25,R4,South,Andhra Pradesh,Y
53,Honda City i DTEC S,2015,600000,54700,CT15,ST20,751022,Diesel,Dealer,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,5,Bhubaneshwar,ST20,CT15,R2,East,Odisha,Y
54,Maruti Ciaz Zeta,2018,850000,64000,CT24,ST13,680004,Petrol,Dealer,Manual,First Owner,20.65 kmpl,1462 CC,103.25 bhp,5,Thrissur,ST13,CT24,R4,South,Kerala,Y
55,Honda Jazz VX Diesel,2015,525000,63000,CT02,ST15,411002,Diesel,Dealer,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,5,Pune,ST15,CT02,R3,West,Maharashtra,Y
56,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,CT21,ST27,248001,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,7,Dehradun,ST27,CT21,R1,Central,Uttarakhand,Y
57,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,CT27,ST11,831001,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,7,Jamshedpur,ST11,CT27,R2,East,Jharkhand,Y
58,Audi A6 2.0 TDI Technology,2013,1750000,33900,CT11,ST07,382460,Diesel,Dealer,Automatic,Second Owner,17.68 kmpl,1968 CC,174.33 bhp,5,Ahmedabad,ST07,CT11,R3,West,Gujarat,Y
59,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,CT07,ST13,682001,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,5,Kochi,ST13,CT07,R4,South,Kerala,Y
60,Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,CT11,ST07,382460,Diesel,Dealer,Automatic,First Owner,18.53 kmpl,1968 CC,187.74 bhp,5,Ahmedabad,ST07,CT11,R3,West,Gujarat,Y
61,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,CT08,ST29,700027,Diesel,Dealer,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,5,Kolkata,ST29,CT08,R2,East,West Bengal,Y
62,Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,CT06,ST22,302029,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,5,Jaipur,ST22,CT06,R5,North,Rajasthan,Y
63,Hyundai i10 Magna,2011,190000,110000,CT14,ST07,395007,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,5,Surat,ST07,CT14,R3,West,Gujarat,Y
64,Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,CT20,ST28,208002,Diesel,Individual,Manual,First Owner,21.27 kmpl,1396 CC,88.76 bhp,5,kanpur,ST28,CT20,R1,Central,Uttar Pradesh,Y
65,Maruti Swift Dzire ZDI,2015,630000,147000,CT14,ST07,395007,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,5,Surat,ST07,CT14,R3,West,Gujarat,Y
66,Ford Figo 1.2P Titanium MT,2017,600000,25000,CT15,ST20,751022,Petrol,Individual,Manual,Third Owner,18.16 kmpl,1196 CC,86.8 bhp,5,Bhubaneshwar,ST20,CT15,R2,East,Odisha,Y
67,Maruti Baleno Delta 1.2,2019,650000,30000,CT12,ST28,201301,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5,Noida,ST28,CT12,R1,Central,Uttar Pradesh,Y
68,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,CT20,ST28,208002,Diesel,Individual,Manual,First Owner,22.0 kmpl,1498 CC,108.495 bhp,5,kanpur,ST28,CT20,R1,Central,Uttar Pradesh,Y
69,Honda City i DTEC VX,2015,630000,135000,CT04,ST24,641001,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,5,Coimbatore,ST24,CT04,R4,South,Tamil Nadu,Y
70,Maruti Wagon R AMT VXI,2018,448000,30000,CT04,ST24,641001,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,5,Coimbatore,ST24,CT04,R4,South,Tamil Nadu,Y
71,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,CT01,ST15,400001,Diesel,Individual,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,5,Mumbai,ST15,CT01,R3,West,Maharashtra,Y
72,Maruti Vitara Brezza VDi,2016,745000,70000,CT06,ST22,302029,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5,Jaipur,ST22,CT06,R5,North,Rajasthan,Y
73,Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,CT26,ST15,431001,Diesel,Individual,Automatic,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5,Aurangabad,ST15,CT26,R3,West,Maharashtra,Y
74,Hyundai i10 Magna,2011,235000,60000,CT16,ST23,737101,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,5,Gangtok,ST23,CT16,R6,North East,Sikkim,Y
75,Maruti Swift VDI Deca,2016,630000,70000,CT03,ST24,600020,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,5,Chennai,ST24,CT03,R4,South,Tamil Nadu,Y
76,Toyota Fortuner 4x4 MT,2015,1700000,78000,CT16,ST23,737101,Diesel,Individual,Manual,Second Owner,12.55 kmpl,2982 CC,168.5 bhp,7,Gangtok,ST23,CT16,R6,North East,Sikkim,Y
77,Maruti Swift Star VDI,2013,450000,120000,CT07,ST13,682001,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,5,Kochi,ST13,CT07,R4,South,Kerala,Y
78,Maruti Ertiga ZXI,2012,450000,120000,CT23,ST12,575001,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,7,Mangalore,ST12,CT23,R4,South,Karnataka,Y
80,Volkswagen Vento Diesel Highline,2013,450000,170000,CT03,ST24,600020,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,5,Chennai,ST24,CT03,R4,South,Tamil Nadu,Y
81,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,CT11,ST07,382460,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,8,Ahmedabad,ST07,CT11,R3,West,Gujarat,Y
82,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,CT24,ST13,680004,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,5,Thrissur,ST13,CT24,R4,South,Kerala,Y
83,BMW X1 sDrive20i xLine,2016,2500000,30000,CT18,ST21,141003,Petrol,Individual,Automatic,Second Owner,15.71 kmpl,1998 CC,189 bhp,5,Ludhiana,ST21,CT18,R5,North,Punjab,Y
84,Maruti Celerio ZXI MT BSIV,2017,484999,10000,CT25,ST01,524225,Petrol,Dealer,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,5,Nellore,ST01,CT25,R4,South,Andhra Pradesh,Y
85,Datsun GO A Petrol,2016,275000,49000,CT19,ST12,570004,Petrol,Dealer,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,5,Mysore,ST12,CT19,R4,South,Karnataka,Y
86,Maruti Alto 800 VXI BSIV,2016,315000,32000,CT19,ST12,570004,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5,Mysore,ST12,CT19,R4,South,Karnataka,Y
87,Maruti Alto 800 LXI BSIV,2016,275000,38000,CT23,ST12,575001,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5,Mangalore,ST12,CT23,R4,South,Karnataka,Y
89,Hyundai i10 Era 1.1,2012,290000,28000,CT22,ST14,452010,Petrol,Dealer,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,5,Indore,ST14,CT22,R1,Central,Madhya Pradesh,Y
90,Maruti Omni 8 Seater BSIV,2017,280000,32000,CT03,ST24,600020,Petrol,Dealer,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,5,Chennai,ST24,CT03,R4,South,Tamil Nadu,Y
91,Maruti Wagon R LXI LPG BSIV,2010,225000,44000,CT17,ST07,391510,LPG,Dealer,Manual,First Owner,26.2 km/kg,998 CC,58.2 bhp,5,Vadodara,ST07,CT17,R3,West,Gujarat,Y
92,Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,CT03,ST24,600020,Petrol,Dealer,Manual,First Owner,16.47 kmpl,1198 CC,74 bhp,5,Chennai,ST24,CT03,R4,South,Tamil Nadu,Y
93,Hyundai i10 Magna 1.1L,2015,351000,45000,CT02,ST15,411002,Petrol,Dealer,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,5,Pune,ST15,CT02,R3,West,Maharashtra,Y
94,Volkswagen Vento Petrol Highline,2012,535000,12000,CT18,ST21,141003,Petrol,Dealer,Manual,Second Owner,15.04 kmpl,1598 CC,103.6 bhp,5,Ludhiana,ST21,CT18,R5,North,Punjab,Y
95,Maruti Zen Estilo LXI BSIII,2009,175000,55500,CT16,ST23,737101,Petrol,Dealer,Manual,First Owner,18.2 kmpl,998 CC,67.1 bhp,5,Gangtok,ST23,CT16,R6,North East,Sikkim,Y
96,Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,CT19,ST12,570004,Petrol,Dealer,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,5,Mysore,ST12,CT19,R4,South,Karnataka,Y
97,Maruti Swift Dzire LDI,2016,600000,150000,CT04,ST24,641001,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5,Coimbatore,ST24,CT04,R4,South,Tamil Nadu,Y
98,Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,CT14,ST07,395007,Petrol,Dealer,Automatic,First Owner,19.1 kmpl,1197 CC,82 bhp,5,Surat,ST07,CT14,R3,West,Gujarat,Y
99,Maruti Alto LX BSIII,2008,120000,68000,CT28,ST11,834001,Petrol,Dealer,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,5,Ranchi,ST11,CT28,R2,East,Jharkhand,Y
100,Hyundai i20 1.4 Asta Option,2017,725000,110000,CT10,ST12,560034,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5,Bangalore,ST12,CT10,R4,South,Karnataka,Y
101,Maruti Wagon R VXI,2009,185000,77000,CT08,ST29,700027,Petrol,Dealer,Manual,Second Owner,21.79 kmpl,998 CC,67.05 bhp,5,Kolkata,ST29,CT08,R2,East,West Bengal,Y
102,Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,CT25,ST01,524225,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,5,Nellore,ST01,CT25,R4,South,Andhra Pradesh,Y
103,Maruti Swift VXI,2019,615000,10000,CT16,ST23,737101,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5,Gangtok,ST23,CT16,R6,North East,Sikkim,Y
104,Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,CT23,ST12,575001,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,7,Mangalore,ST12,CT23,R4,South,Karnataka,Y
105,Maruti Baleno Zeta 1.2,2018,610000,35000,CT21,ST27,248001,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5,Dehradun,ST27,CT21,R1,Central,Uttarakhand,Y
106,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,CT25,ST01,524225,Diesel,Individual,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,8,Nellore,ST01,CT25,R4,South,Andhra Pradesh,Y
107,Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,CT04,ST24,641001,Petrol,Individual,Manual,Second Owner,19.0 kmpl,1194 CC,94.68 bhp,5,Coimbatore,ST24,CT04,R4,South,Tamil Nadu,Y
108,Hyundai Verna VTVT 1.6 SX,2017,866000,37800,CT26,ST15,431001,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,5,Aurangabad,ST15,CT26,R3,West,Maharashtra,Y
109,Volkswagen Passat 1.8 TSI MT,2010,700000,114000,CT08,ST29,700027,Petrol,Individual,Manual,First Owner,14.3 kmpl,1798 CC,160 bhp,5,Kolkata,ST29,CT08,R2,East,West Bengal,Y
110,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,CT18,ST21,141003,Petrol,Individual,Manual,First Owner,15.8 kmpl,1172 CC,65 bhp,5,Ludhiana,ST21,CT18,R5,North,Punjab,Y
111,Mahindra XUV500 W11 Option AWD,2019,1700000,32000,CT11,ST07,382460,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,155 bhp,7,Ahmedabad,ST07,CT11,R3,West,Gujarat,Y
112,Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,CT19,ST12,570004,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,5,Mysore,ST12,CT19,R4,South,Karnataka,Y
113,Hyundai Verna 1.6 SX,2013,522000,150000,CT12,ST28,201301,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,5,Noida,ST28,CT12,R1,Central,Uttar Pradesh,Y
114,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,CT08,ST29,700027,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,5,Kolkata,ST29,CT08,R2,East,West Bengal,Y
115,Toyota Corolla Altis G,2009,300000,100000,CT25,ST01,524225,Petrol,Individual,Manual,Second Owner,14.53 kmpl,1798 CC,138.1 bhp,5,Nellore,ST01,CT25,R4,South,Andhra Pradesh,Y
116,Maruti Celerio VXI,2020,475000,13000,CT23,ST12,575001,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,5,Mangalore,ST12,CT23,R4,South,Karnataka,Y
117,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,CT09,ST34,110039,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5,Delhi,ST34,CT09,R5,North,Delhi,Y
118,Maruti Swift Dzire VXI,2017,595000,40000,CT28,ST11,834001,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,5,Ranchi,ST11,CT28,R2,East,Jharkhand,Y
119,Maruti Wagon R VXI BS IV,2017,440000,35000,CT23,ST12,575001,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5,Mangalore,ST12,CT23,R4,South,Karnataka,Y
121,Nissan Terrano XL 85 PS,2014,400000,70000,CT01,ST15,400001,Diesel,Individual,Manual,Third Owner,20.45 kmpl,1461 CC,83.8 bhp,5,Mumbai,ST15,CT01,R3,West,Maharashtra,Y
122,Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,CT04,ST24,641001,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,5,Coimbatore,ST24,CT04,R4,South,Tamil Nadu,Y
123,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,CT05,ST25,500004,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5,Hyderabad,ST25,CT05,R4,South,Telangana,Y
124,Maruti Swift Dzire VDi,2012,370000,175000,CT25,ST01,524225,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,5,Nellore,ST01,CT25,R4,South,Andhra Pradesh,Y
125,Renault KWID 1.0,2018,350000,25000,CT16,ST23,737101,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,5,Gangtok,ST23,CT16,R6,North East,Sikkim,Y
126,Maruti Celerio VXI,2015,360000,40000,CT24,ST13,680004,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,5,Thrissur,ST13,CT24,R4,South,Kerala,Y
127,Maruti Alto LXi,2008,105000,65000,CT09,ST34,110039,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,5,Delhi,ST34,CT09,R5,North,Delhi,Y
